code,station_name,network_region,fueltech_id,capacity_registered,capacity_maximum
FINLYSF1,Finley Solar Farm,NSW1,solar,162.360,133.000
TERMSTOR,Terminal Storage Mini Hydro Power Station,SA1,hydro,2.500,2.000
BAPS,Banimboola Power Station,VIC1,hydro,12.850,13.000
BAPS,Banimboola Power Station,VIC1,hydro,,
BASTYAN,Bastyan Power Station,TAS1,hydro,79.900,88.000
BLOWERNG,Blowering Power Station,NSW1,hydro,80.000,80.000
MCKAY1,Bogong / Mackay Power Station,VIC1,hydro,,
MCKAY1,Bogong / Mackay Power Station,VIC1,hydro,300.000,300.000
BROWNMT,Brown Mountain Hydro Power Station,NSW1,hydro,5.000,6.000
BROWNMT,Brown Mountain Hydro Power Station,NSW1,hydro,,
BROWNMT,Brown Mountain Hydro Power Station,NSW1,hydro,,
BROWNMT,Brown Mountain Hydro Power Station,NSW1,hydro,,
BDONGHYD,Burrendong Hydro Power Station,NSW1,hydro,19.000,19.000
BURRIN,Burrinjuck Hydro Power Station,NSW1,hydro,27.000,28.000
BURRIN,Burrinjuck Hydro Power Station,NSW1,hydro,,
BUTLERSG,Butlers Gorge Power Station,TAS1,hydro,14.400,15.000
LI_WY_CA,Catagunya / Liapootah / Wayatinah Power Station,TAS1,hydro,173.700,190.000
LI_WY_CA,Catagunya / Liapootah / Wayatinah Power Station,TAS1,hydro,,
LI_WY_CA,Catagunya / Liapootah / Wayatinah Power Station,TAS1,hydro,,
LI_WY_CA,Catagunya / Liapootah / Wayatinah Power Station,TAS1,hydro,,
LI_WY_CA,Catagunya / Liapootah / Wayatinah Power Station,TAS1,hydro,,
CETHANA,Cethana Power Station,TAS1,hydro,85.000,100.000
CLOVER,Clover Power Station,VIC1,hydro,29.000,29.000
CLUNY,Cluny Power Station,TAS1,hydro,19.000,22.000
COPTNHYD,Copeton Hydro Power Station,NSW1,hydro,22.500,23.000
DARTM1,Dartmouth Power Station,VIC1,hydro,185.000,185.000
DEVILS_G,Devils Gate Power Station,TAS1,hydro,60.000,67.000
EILDON1,Eildon Power Station,VIC1,hydro,60.000,60.000
EILDON1,Eildon Power Station,VIC1,hydro,,
EILDON2,Eildon Power Station,VIC1,hydro,60.000,60.000
EILDON2,Eildon Power Station,VIC1,hydro,,
FISHER,Fisher Power Station,TAS1,hydro,43.200,46.000
GLBWNHYD,Glenbawn Hydro Power Station,NSW1,hydro,5.500,6.000
GORDON,Gordon Power Station,TAS1,hydro,432.000,450.000
GUTHEGA,Guthega Power Station,NSW1,hydro,60.000,80.000
HUMENSW,Hume (NSW) Hydro Power Station,NSW1,hydro,29.000,70.000
HUMEV,Hume (Vic) Hydro Power Station,VIC1,hydro,29.000,70.000
JNDABNE1,Jindabyne Small Hydro Power Station,NSW1,hydro,1.100,1.000
JBUTTERS,John Butters Power Station,TAS1,hydro,144.000,144.000
JOUNAMA1,Jounama Small Hydro Power Station,NSW1,hydro,14.000,14.000
KEEPIT,Keepit Hydro Power Station,NSW1,hydro,6.000,8.000
LK_ECHO,Lake Echo Power Station,TAS1,hydro,32.400,34.000
LEM_WIL,Lemonthyme / Wilmot Power Station,TAS1,hydro,81.600,86.000
LEM_WIL,Lemonthyme / Wilmot Power Station,TAS1,hydro,,
MACKNTSH,Mackintosh Power Station,TAS1,hydro,79.900,89.000
MEADOWBK,Meadowbank Power Station,TAS1,hydro,40.000,44.000
None,Midlands Power Station,TAS1,hydro,6.078,7.000
MURRAY,Murray Power Station,VIC1,hydro,1500.000,1575.000
MURRAY,Murray Power Station,VIC1,hydro,,
PALOONA,Paloona Power Station,TAS1,hydro,28.000,33.000
PINDARI,Pindari Hydro Power Station,NSW1,hydro,6.700,6.000
POAT110,Poatina Power Station,TAS1,hydro,100.000,124.000
POAT220,Poatina Power Station,TAS1,hydro,200.000,248.000
REECE1,Reece Power Station,TAS1,hydro,115.600,119.000
REECE2,Reece Power Station,TAS1,hydro,115.600,119.000
REPULSE,Repulse Power Station,TAS1,hydro,28.000,34.000
ROWALLAN,Rowallan Power Station,TAS1,hydro,10.500,11.000
RUBICON,Rubicon Mountain Streams Station,VIC1,hydro,2.700,2.700
RUBICON,Rubicon Mountain Streams Station,VIC1,hydro,0.300,0.300
RUBICON,Rubicon Mountain Streams Station,VIC1,hydro,9.400,9.400
RUBICON,Rubicon Mountain Streams Station,VIC1,hydro,0.800,0.800
SHGEN,Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),NSW1,hydro,240.000,240.000
SHGEN,Shoalhaven Power Station (Bendeela And Kangaroo Valley Power Station And Pumps),NSW1,hydro,,
HLMSEW01,South East Water - Halllam Hydro Plant,VIC1,hydro,0.250,1.000
TARRALEA,Tarraleah Power Station,TAS1,hydro,90.000,94.000
TREVALLN,Trevallyn Power Station,TAS1,hydro,93.000,103.000
TREVALLN,Trevallyn Power Station,TAS1,hydro,,
TRIBUTE,Tribute Power Station,TAS1,hydro,82.800,92.000
TUMUT3,Tumut 3 Power Station,NSW1,hydro,1500.000,1800.000
UPPTUMUT,Tumut Power Station,NSW1,hydro,616.000,665.000
UPPTUMUT,Tumut Power Station,NSW1,hydro,,
TUNGATIN,Tungatinah Power Station,TAS1,hydro,125.000,142.000
WKIEWA1,West Kiewa Power Station,VIC1,hydro,31.000,34.000
WKIEWA2,West Kiewa Power Station,VIC1,hydro,31.000,34.000
WYANGALA,Wyangala A Power Station,NSW1,hydro,20.000,20.000
WYANGALB,Wyangala B Power Station,NSW1,hydro,4.000,4.000
YWNGAHYD,Yarrawonga Hydro Power Station,VIC1,hydro,9.000,9.000
BARRON-1,Barron Gorge Power Station,QLD1,hydro,30.000,33.000
BARRON-2,Barron Gorge Power Station,QLD1,hydro,30.000,33.000
EILDON3,Eildon Power Station,VIC1,hydro,4.500,5.000
GLENMAG1,Glenmaggie Hydro Power Station,VIC1,hydro,3.800,4.000
KAREEYA1,Kareeya Power Station,QLD1,hydro,21.000,22.000
KAREEYA2,Kareeya Power Station,QLD1,hydro,21.000,22.000
KAREEYA3,Kareeya Power Station,QLD1,hydro,21.000,22.000
KAREEYA4,Kareeya Power Station,QLD1,hydro,21.000,22.000
KAREEYA5,Kareeya Power Station,QLD1,hydro,7.000,7.000
THEDROP1,The Drop Power Station,NSW1,hydro,2.500,3.000
WILLHOV1,William Hovell Power Station,VIC1,hydro,1.500,2.000
WIVENSH,Wivenhoe Small Hydro,QLD1,hydro,4.700,5.000
MIDLDPS1,Midlands Power Station,TAS1,hydro,6.000,7.000
W/HOE#1,Wivenhoe Power Station,QLD1,hydro,285.000,285.000
W/HOE#2,Wivenhoe Power Station,QLD1,hydro,285.000,285.000
PORTWF,Portland Wind Farm,VIC1,wind,148.000,148.000
ARWF1,Ararat Wind Farm,VIC1,wind,241.590,241.000
ARWF1,Ararat Wind Farm,VIC1,wind,,
ARWF1,Ararat Wind Farm,VIC1,wind,,
BALDHWF1,Bald Hills Wind Farm,VIC1,wind,106.600,106.000
BANGOWF1,Bango Wind Farm,NSW1,wind,159.000,155.000
BOCORWF1,Boco Rock Wind Farm,NSW1,wind,113.180,113.000
BOCORWF1,Boco Rock Wind Farm,NSW1,wind,,
BODWF1,Bodangora Wind Farm,NSW1,wind,113.190,111.000
BULGANA1,Bulgana Green Power Hub - Units 1-50,VIC1,wind,182.000,100.000
CNUNDAWF,Canunda Wind Farm,SA1,wind,46.000,46.000
CAPTL_WF,Capital Wind Farm,NSW1,wind,140.000,140.000
CATHROCK,Cathedral Rocks,SA1,wind,66.000,66.000
CTHLWF1,Cattle Hill Wind Farm,TAS1,wind,148.000,144.000
CHALLHWF,Challicum Hills Wind Farm,VIC1,wind,52.500,52.000
CHPSTWF1,Chepstowe Wind Farm,VIC1,wind,6.150,6.000
CHYTWF1,Cherry Tree Wind Farm,VIC1,wind,57.600,57.000
CLEMGPWF,Clements Gap Wind Farm,SA1,wind,57.000,57.000
CODRNGTON,Codrington Wind Farm,VIC1,wind,18.200,18.000
COLWF01,Collector Wind Farm 1,NSW1,wind,113.000,110.000
CBWF1,Coonooer Bridge Wind Farm,VIC1,wind,19.800,20.000
COOPGWF1,Coopers Gap Wind Farm,QLD1,wind,174.000,169.000
COOPGWF1,Coopers Gap Wind Farm,QLD1,wind,53.000,52.000
COOPGWF1,Coopers Gap Wind Farm,QLD1,wind,156.000,152.000
COOPGWF1,Coopers Gap Wind Farm,QLD1,wind,69.000,67.000
CROOKWF2,Crookwell 2 Wind Farm,NSW1,wind,96.040,91.000
CROWLWF1,Crowlands Wind Farm,VIC1,wind,79.950,79.000
CRURWF1,Crudine Ridge Wind Farm,NSW1,wind,141.000,138.000
CULLRGWF,Cullerin Range Wind Farm,NSW1,wind,30.000,30.000
DUNDWF1,Dundonnell Wind Farm,VIC1,wind,168.000,168.000
DUNDWF2,Dundonnell Wind Farm,VIC1,wind,46.000,46.000
DUNDWF3,Dundonnell Wind Farm,VIC1,wind,121.000,122.000
ELAINWF1,Elaine Wind Farm,VIC1,wind,83.600,82.000
FNWF1,Ferguson North Wind Farm,VIC1,wind,4.000,3.000
GRANWF1,Granville Harbour Wind Farm,TAS1,wind,110.000,111.000
GULLRWF1,Gullen Range Wind Farm,NSW1,wind,275.500,268.000
GULLRWF1,Gullen Range Wind Farm,NSW1,wind,,
GULLRWF2,Gullen Range Wind Farm,NSW1,wind,,
GUNNING1,Gunning Wind Farm,NSW1,wind,46.500,47.000
HALLWF1,Hallett 1 Wind Farm,SA1,wind,94.500,95.000
HALLWF2,Hallett 2 Wind Farm,SA1,wind,71.400,71.000
HEPWIND1,Hepburn Community Wind Farm,VIC1,wind,4.100,4.000
HDWF1,Hornsdale Wind Farm,SA1,wind,102.400,102.000
HDWF2,Hornsdale Wind Farm 2,SA1,wind,102.400,102.000
HDWF3,Hornsdale Wind Farm 3,SA1,wind,112.000,109.000
KIATAWF1,Kiata Wind Farm,VIC1,wind,31.050,31.000
LKBONNY2,Lake Bonney Stage 2 Windfarm,SA1,wind,159.000,159.000
LKBONNY3,Lake Bonney Stage 3 Wind Farm,SA1,wind,39.000,39.000
LKBONNY1,Lake Bonney Wind Farm Stage 1,SA1,wind,80.500,81.000
LGAPWF1,Lincoln Gap Wind Farm,SA1,wind,212.400,212.400
MACARTH1,Macarthur Wind Farm,VIC1,wind,420.000,420.000
MAROOWF1,Maroona Wind Farm,VIC1,wind,6.800,6.000
MOORAWF1,Moorabool Wind Farm,VIC1,wind,150.000,150.000
MLWF1,Mortons Lane Wind Farm,VIC1,wind,19.500,20.000
MEWF1,Mount Emerald Wind Farm,QLD1,wind,127.650,126.050
MEWF1,Mount Emerald Wind Farm,QLD1,wind,52.800,52.150
MTGELWF1,Mt Gellibrand Wind Farm,VIC1,wind,43.904,66.000
MTGELWF1,Mt Gellibrand Wind Farm,VIC1,wind,25.088,
MTGELWF1,Mt Gellibrand Wind Farm,VIC1,wind,12.544,66.000
MTGELWF1,Mt Gellibrand Wind Farm,VIC1,wind,28.224,
MTGELWF1,Mt Gellibrand Wind Farm,VIC1,wind,9.408,
MTGELWF1,Mt Gellibrand Wind Farm,VIC1,wind,18.816,
MERCER01,Mt Mercer Wind Farm,VIC1,wind,131.200,131.000
MTMILLAR,Mt Millar Wind Farm,SA1,wind,70.000,70.000
MUWAWF1,Murra Warra Wind Farm,VIC1,wind,231.800,225.700
MUSSELR1,Musselroe Wind Farm,TAS1,wind,168.000,168.000
NBHWF1,North Brown Hill Wind Farm,SA1,wind,132.300,132.000
OAKLAND1,Oaklands Hill Wind Farm,VIC1,wind,67.000,63.000
None,Portland Wind Farm,VIC1,wind,148.000,148.000
SALTCRK1,Salt Creek Wind Farm,VIC1,wind,54.000,54.000
SAPHWF1,Sapphire Wind Farm,NSW1,wind,270.000,270.000
STWF1,Silverton Wind Farm,NSW1,wind,198.940,198.000
SNOWSTH1,Snowtown South Wind Farm,SA1,wind,126.000,126.000
SNOWNTH1,Snowtown Wind Farm Stage 2 North,SA1,wind,144.000,144.000
SNOWTWN1,Snowtown Wind Farm Units 1 And 47,SA1,wind,99.000,99.000
STARHLWF,Starfish Hill Wind Farm,SA1,wind,34.500,35.000
TARALGA1,Taralga Wind Farm,NSW1,wind,106.800,106.000
TARALGA1,Taralga Wind Farm,NSW1,wind,,
TARALGA1,Taralga Wind Farm,NSW1,wind,,
BLUFF1,The Bluff Wind Farm,SA1,wind,52.500,53.000
TIMWEST,Timboon West Wind Farm,VIC1,wind,7.200,7.200
TOORAWF,Toora Wind Farm,VIC1,wind,21.000,21.000
WATERLWF,Waterloo Wind Farm,SA1,wind,130.800,130.000
WATERLWF,Waterloo Wind Farm,SA1,wind,,
WPWF,Wattle Point Wind Farm,SA1,wind,90.750,91.000
WAUBRAWF,Waubra Wind Farm,VIC1,wind,192.000,192.000
WRWF1,White Rock Wind and Solar Farm,NSW1,wind,175.000,172.000
WGWF1,Willogoleche Wind Farm,SA1,wind,91.920,119.000
WGWF1,Willogoleche Wind Farm,SA1,wind,27.440,119.000
WHILL1,Windy Hill Wind Farm,QLD1,wind,12.000,12.000
WONWP,Wonthaggi Wind Farm,VIC1,wind,12.000,12.000
WOODLWN1,Woodlawn Wind Farm,NSW1,wind,48.300,48.000
WOOLNTH1,Woolnorth Studland Bay / Bluff Point Wind Farm,TAS1,wind,140.000,140.000
WOOLNTH1,Woolnorth Studland Bay / Bluff Point Wind Farm,TAS1,wind,,
YSWF1,Yaloak South Wind Farm,VIC1,wind,28.700,28.000
YAMBUKWF,Yambuk Wind Farm,VIC1,wind,30.000,30.000
YAWWF1,Yawong Wind Farm,VIC1,wind,7.200,7.200
YENDWF1,Yendon Wind Farm,VIC1,wind,144.400,142.000
HPRG1,Hornsdale Power Reserve,SA1,battery_discharging,150.000,150.000
BALBG1,Ballarat Battery Energy Storage System,VIC1,battery_discharging,30.000,30.000
DALNTH01,Dalrymple North Battery Energy Storage System,SA1,battery_discharging,30.000,30.000
GANNBG1,Gannawarra Energy Storage System,VIC1,battery_discharging,30.875,25.000
LBBG1,Lake Bonney BESS1,SA1,battery_discharging,25.000,25.000
